timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652423.152245,-53,3.00,20.02,20.02,20.00,20.02,20.10,20.22,20.40,20.62,20.62,21.84,22.14,23.09,23.41,24.70,25.63,26.25,26.25,27.20,26.93,26.68,26.31,26.17,26.02,26.00,27.02,7.00,16.55,17.00,17.49,18.03,18.03,18.60,18.60,18.60,19.21,18.44,18.44,19.21,17.80,17.80,17.20,18.03,18.36,17.89,17.46,18.38,18.97,18.97,18.68,18.68,19.42,19.24
1779652423.1843603,-53,3.00,24.35,25.00,25.00,24.74,24.33,24.19,24.08,25.08,26.02,26.00,27.02,28.07,28.07,30.15,31.14,32.06,33.02,33.00,33.06,33.14,32.25,32.39,31.78,32.28,31.62,8.54,22.67,22.67,22.63,22.63,23.35,23.43,24.21,24.21,23.60,23.60,23.60,23.60,22.80,23.43,22.67,22.67,22.63,21.93,22.67,22.80,22.20,23.02,23.32,24.19,23.71,23.26
1779652423.2159705,-53,3.00,21.26,22.02,21.40,20.81,21.10,21.10,21.47,21.93,22.47,23.09,23.09,24.04,25.00,25.96,26.93,28.16,28.16,28.46,29.15,28.64,28.18,29.15,29.68,29.41,29.21,7.07,19.24,19.70,19.70,20.25,20.25,20.88,20.88,20.62,21.59,21.59,21.59,20.62,20.88,20.88,19.92,20.25,19.31,19.70,20.12,20.59,19.72,20.81,20.81,20.62,21.26,20.52
1779652423.2464082,-53,3.00,20.25,19.72,19.72,20.12,19.70,19.70,20.25,19.92,20.62,21.59,22.36,22.20,23.19,24.33,25.32,25.50,26.68,26.93,27.20,26.57,26.57,26.00,26.83,26.42,26.08,7.21,19.42,18.60,18.60,18.03,18.87,19.24,20.12,19.70,19.70,19.70,19.70,19.70,19.24,18.36,18.36,18.36,18.87,18.03,18.60,17.80,18.44,19.10,19.80,19.85,19.21,19.21
1779652423.273573,-53,3.00,22.00,22.00,22.02,22.09,21.10,22.20,22.56,22.80,23.09,24.35,24.70,24.70,26.00,27.31,28.23,28.79,29.73,29.41,30.36,29.83,29.61,29.27,29.15,29.02,29.02,8.00,19.31,19.70,20.12,20.59,20.59,21.10,21.10,21.63,20.81,20.81,20.81,20.81,20.81,20.25,19.72,19.72,20.12,19.70,19.31,20.25,19.92,20.62,21.59,21.38,21.21,21.21
1779652423.305581,-53,3.00,24.41,23.85,24.19,24.19,23.71,24.17,23.77,24.35,25.00,25.71,26.68,27.46,28.44,29.43,30.59,31.58,31.78,32.02,32.57,31.95,32.31,32.20,31.76,31.91,31.62,8.06,21.63,21.10,21.95,21.47,22.36,21.93,22.85,22.47,22.47,22.47,23.41,22.47,22.47,22.85,21.93,21.47,21.47,21.10,21.63,21.63,21.40,22.02,22.67,23.35,23.35,23.43
1779652423.3335721,-53,3.00,21.93,21.93,21.93,21.26,22.02,21.40,21.63,22.47,22.83,23.26,24.17,25.08,26.00,27.31,27.31,28.64,29.07,29.07,29.15,29.68,29.41,29.21,29.07,29.00,29.00,7.07,19.31,18.97,18.68,19.65,19.42,20.40,20.22,20.22,20.22,20.22,20.22,20.22,20.22,19.42,19.42,19.42,18.68,18.97,19.31,19.31,19.70,20.12,20.59,21.10,20.81,21.40
1779652423.3624668,-53,3.00,18.38,18.79,18.79,19.24,18.36,18.03,18.60,19.21,19.85,19.80,20.52,21.21,21.93,23.35,23.35,24.04,24.76,25.50,24.84,25.00,25.24,25.55,25.06,25.50,26.00,6.32,17.03,17.00,17.00,17.03,17.12,18.11,18.25,18.25,18.25,18.44,18.44,18.25,18.25,18.11,18.11,17.12,17.03,17.00,17.00,17.03,17.12,18.11,18.25,18.44,18.68,18.97
1779652423.3938785,-52,3.00,19.70,19.70,20.25,19.92,18.68,19.65,20.40,20.22,21.10,22.09,22.02,23.02,24.02,24.00,24.02,24.00,25.02,23.19,23.35,25.50,28.64,27.89,24.74,24.04,24.17,6.32,17.69,17.69,17.69,17.80,17.80,18.60,18.60,18.87,18.87,18.87,18.87,18.87,18.87,18.03,17.20,17.80,17.03,17.69,16.97,17.69,18.44,18.60,18.60,19.42,19.72,19.24
1779652423.4235675,-53,3.00,22.56,22.80,21.84,22.14,22.47,21.93,22.36,22.83,23.32,23.85,24.41,25.00,26.40,26.40,27.80,28.60,28.84,29.15,29.53,29.07,29.55,29.15,29.41,29.12,29.61,8.06,20.22,20.22,20.40,20.40,20.40,20.88,21.19,21.54,21.54,21.19,21.54,21.19,21.19,20.88,20.88,20.62,20.40,20.40,20.22,21.10,21.02,21.00,21.00,22.02,22.09,21.21
