timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779654609.9242408,-56,3.00,19.42,18.25,17.12,16.03,15.03,15.13,14.32,13.60,14.32,13.89,14.42,14.87,15.56,16.28,17.03,17.80,18.60,20.00,20.00,20.62,21.26,21.93,21.93,21.93,22.67,5.83,30.08,29.41,30.08,29.97,30.41,30.02,31.06,30.81,30.00,29.83,29.07,29.07,27.66,26.25,25.61,25.61,24.41,23.85,23.32,23.32,22.83,23.26,22.85,22.47,21.19,20.88
1779654609.9534936,-55,3.00,21.59,20.40,18.44,17.26,16.12,15.03,14.00,13.04,12.17,11.40,11.70,11.18,10.30,10.00,9.90,10.63,10.00,10.82,11.66,11.18,12.53,12.53,12.53,13.42,13.89,3.61,29.43,29.61,30.08,30.68,31.02,30.87,31.76,32.25,31.91,31.91,31.06,30.23,29.41,28.02,27.46,26.93,26.42,25.94,25.94,25.50,25.08,24.70,24.70,24.35,24.04,23.09
1779654609.9840178,-56,3.00,15.03,14.04,13.04,12.00,11.00,11.05,10.05,9.06,8.25,7.28,6.32,5.83,5.00,4.24,3.61,4.12,4.12,4.00,4.12,4.47,5.39,5.83,6.71,6.71,6.71,1.41,24.08,23.19,23.35,23.54,25.00,25.30,24.70,25.08,25.50,25.50,24.60,23.71,22.36,21.47,21.02,21.02,20.62,19.31,18.97,19.92,18.68,18.44,19.42,18.25,18.25,17.12
1779654610.0119689,-59,3.00,18.38,16.55,15.65,14.32,12.53,10.30,8.60,7.21,5.66,5.00,3.61,2.00,1.41,3.00,4.12,6.32,7.62,8.54,10.77,11.70,12.65,13.60,14.56,16.49,17.26,5.00,31.14,32.06,32.02,32.02,33.06,34.23,34.37,33.54,33.73,32.76,32.76,31.58,30.59,29.43,28.28,27.17,26.08,26.00,25.02,25.08,24.19,24.33,23.54,22.80,22.14,21.19
1779654610.0440667,-60,3.00,9.06,8.06,7.00,5.00,4.12,1.41,1.00,1.41,3.16,5.10,7.07,9.00,10.00,12.00,14.00,16.00,18.00,19.00,21.00,22.02,23.09,24.08,25.18,26.31,27.46,7.07,25.61,27.02,27.02,27.66,29.00,29.70,29.00,29.07,28.43,28.43,27.02,27.02,25.61,24.08,23.35,22.63,21.26,20.00,19.42,18.87,17.89,16.55,15.23,15.23,14.87,13.60
1779654610.0776424,-58,3.00,13.34,13.60,13.93,13.42,13.04,14.21,14.14,14.87,15.81,17.49,17.89,19.31,20.25,22.14,24.04,25.30,26.25,27.51,28.79,29.73,30.46,30.87,31.76,32.76,33.29,8.60,19.24,19.72,20.25,20.00,20.62,21.26,21.21,21.26,20.62,19.85,19.21,19.21,18.44,17.69,16.97,16.28,15.62,15.00,15.26,14.76,14.32,14.87,14.56,14.32,14.14,13.04
1779654610.104719,-56,3.00,21.10,20.25,20.81,20.00,19.85,19.80,20.52,20.62,20.81,21.95,22.83,24.17,25.08,26.00,27.31,28.23,29.55,29.55,29.97,31.30,31.38,31.91,32.45,33.60,34.06,9.22,18.03,17.72,18.44,19.24,19.10,20.02,20.00,20.02,20.02,20.10,20.10,20.10,20.10,19.03,19.03,18.03,18.00,18.03,18.11,18.25,18.44,18.68,18.97,20.25,20.62,19.70
1779654610.1350276,-56,3.00,21.10,20.59,20.12,19.70,18.38,18.97,18.68,18.44,19.10,19.03,20.02,20.10,21.21,21.21,22.36,23.35,24.52,25.32,26.31,26.31,27.17,27.07,28.02,29.00,30.07,8.06,18.79,19.24,20.25,20.81,20.62,21.93,22.63,22.67,22.80,22.80,23.02,23.02,21.63,21.63,21.63,20.81,20.62,20.62,20.52,20.52,20.52,20.52,21.26,21.40,21.40,20.81
1779654610.1629522,-57,3.00,23.32,22.47,21.63,20.81,19.21,19.10,18.38,17.80,18.03,17.00,17.46,17.09,17.72,18.44,19.24,19.24,20.10,21.02,22.02,22.02,23.09,24.08,24.08,25.18,26.31,7.07,22.67,23.35,24.08,25.00,26.08,26.42,26.83,28.23,28.46,28.16,27.89,27.89,27.89,26.68,25.71,25.71,24.74,25.00,25.30,24.35,24.70,25.08,25.08,25.50,24.60,25.06
1779654610.1955147,-56,3.00,25.06,25.06,24.19,22.47,21.63,20.81,20.00,18.44,18.38,17.69,17.03,16.40,15.81,15.26,14.76,14.32,13.93,13.93,14.56,14.32,14.32,14.32,15.13,16.12,16.12,4.12,21.40,22.67,23.35,24.84,25.00,26.08,27.29,27.73,28.23,27.86,28.46,28.46,27.20,27.20,27.20,26.25,26.25,26.57,25.63,26.00,26.40,26.40,26.83,26.83,27.29,26.42
1779654610.2026742,-56,3.00,23.85,22.47,22.47,21.10,20.59,18.79,18.38,17.09,16.76,16.49,15.30,15.13,14.04,14.00,14.00,14.04,13.15,13.34,13.60,12.65,13.93,13.93,13.93,14.32,15.23,3.61,20.22,20.40,21.84,22.47,24.17,25.06,25.24,25.81,26.40,26.91,26.87,26.17,26.17,26.17,24.76,24.76,24.76,24.76,24.84,24.84,24.21,25.00,25.61,25.61,25.81,25.24
1779654610.2198234,-56,3.00,22.80,22.80,21.84,20.88,19.92,18.97,18.38,17.46,16.55,15.65,15.26,15.26,14.42,14.42,13.60,12.81,12.04,11.40,10.63,10.63,9.90,8.49,7.81,8.60,9.43,2.24,16.40,17.20,18.36,18.79,20.25,20.88,22.56,23.35,23.19,24.08,24.02,24.02,23.02,23.00,23.00,23.00,22.02,22.02,22.09,22.20,23.19,23.35,23.54,23.54,23.77,23.77
