timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652510.900972,-54,3.00,19.03,21.02,21.02,22.00,23.02,24.08,25.32,26.48,27.66,29.12,30.36,30.68,31.95,34.18,35.47,36.77,37.70,37.34,37.34,37.00,37.64,37.36,36.14,35.90,35.90,9.22,15.26,16.12,15.65,14.32,13.00,12.65,12.65,11.40,10.44,9.22,8.06,6.08,6.00,5.10,4.47,3.61,3.61,4.12,5.00,6.00,7.07,9.06,10.05,12.04,14.04,14.04
1779652510.9047065,-56,3.00,16.49,17.46,18.68,19.92,20.25,20.25,21.54,23.26,23.71,24.70,25.24,27.20,28.43,29.83,31.24,32.65,33.30,34.06,33.42,33.42,33.60,33.84,33.84,33.29,34.13,8.94,14.76,14.76,13.89,13.89,13.42,12.08,11.70,10.77,10.44,9.22,8.25,7.07,6.00,5.10,4.12,4.47,3.61,4.24,4.47,5.39,6.32,7.28,8.25,9.22,10.20,11.18
1779652510.9334323,-55,3.00,14.14,15.13,17.12,18.11,19.03,20.02,21.00,22.02,24.19,25.32,26.48,27.66,30.08,31.32,32.57,33.53,34.48,35.74,35.44,36.40,36.40,36.14,35.90,35.90,35.69,8.25,19.42,19.42,18.68,18.68,17.72,17.72,16.76,15.81,14.87,13.93,13.00,12.08,10.77,9.85,8.94,7.21,6.71,6.40,5.66,5.00,5.83,6.32,7.07,8.00,9.00,10.05
1779652510.9628854,-55,3.00,10.77,12.08,13.42,13.42,14.32,15.23,17.46,18.38,18.97,19.92,22.14,24.04,24.74,26.48,28.44,29.43,29.43,30.41,30.41,31.58,31.58,30.81,31.05,31.05,31.05,7.28,21.40,21.40,21.40,21.40,20.81,20.25,19.42,18.87,18.03,17.49,16.64,15.26,14.42,13.04,12.21,10.82,9.43,9.43,8.06,8.06,7.62,7.28,7.07,7.00,8.00,8.06
1779652510.9952018,-55,3.00,10.82,11.66,11.18,12.08,12.08,13.00,13.93,15.23,15.65,16.55,17.89,19.24,20.59,21.95,23.32,24.70,24.70,26.08,26.93,26.93,27.78,27.29,28.18,28.18,27.73,7.62,26.17,26.17,26.17,26.17,26.17,25.46,24.76,24.76,24.04,24.04,22.63,21.21,19.85,18.44,17.80,16.40,15.81,14.42,13.89,13.04,12.53,11.66,11.66,10.82,10.82,10.00
1779652511.023344,-54,3.00,12.08,12.08,11.70,11.40,11.18,11.18,11.18,11.05,12.04,12.04,13.04,14.00,15.00,16.00,16.03,17.03,18.11,19.10,19.10,19.24,19.42,20.40,20.62,19.65,19.92,4.12,29.02,29.02,28.07,28.07,28.02,28.00,28.00,28.02,28.02,27.02,26.02,25.08,24.19,22.36,20.40,19.65,18.97,18.97,18.38,17.89,17.00,16.12,16.12,16.12,15.26,14.42
1779652511.0545547,-54,3.00,16.12,15.03,14.04,13.00,13.00,12.04,12.17,12.17,12.37,12.65,13.00,13.93,14.32,15.65,16.12,17.49,18.03,18.03,18.60,19.21,19.10,19.80,20.52,20.62,20.62,5.00,35.17,35.17,34.48,34.48,35.44,35.44,35.74,34.79,34.79,33.53,32.57,31.32,30.08,28.64,27.46,26.31,25.08,24.02,24.00,23.09,22.09,21.21,21.21,21.21,20.22,19.24
1779652511.085145,-54,3.00,16.49,15.30,14.32,13.15,11.05,11.00,11.05,11.05,11.18,10.44,10.77,11.18,11.66,13.04,13.60,14.87,15.56,15.56,16.28,17.03,17.20,18.03,18.36,19.24,19.24,4.47,36.35,36.50,36.67,36.67,36.88,36.88,36.88,36.88,35.90,35.90,34.93,33.73,32.39,30.27,29.07,28.02,27.02,26.08,25.18,24.33,23.54,22.80,22.80,21.84,20.88,19.92
1779652511.1161995,-55,3.00,12.08,11.18,10.30,8.60,7.81,7.21,6.71,7.62,7.28,8.06,9.00,10.00,12.04,13.15,14.14,15.30,16.49,16.76,18.03,19.31,19.70,20.62,21.02,21.47,21.95,5.83,34.71,34.71,34.66,34.66,35.36,34.66,34.66,34.66,34.66,33.24,32.53,30.41,29.73,27.66,26.40,25.81,23.85,23.32,22.36,21.93,20.62,20.25,18.97,18.68,17.72,16.49
1779652511.149154,-56,3.00,8.94,6.71,5.00,5.00,4.12,4.00,4.12,5.39,6.40,7.81,9.22,10.63,12.04,13.45,14.87,16.28,16.97,18.38,19.80,20.52,21.26,21.40,22.20,22.47,22.47,5.83,31.89,31.89,31.14,31.83,31.83,31.83,31.83,31.11,31.11,30.41,29.00,28.28,26.17,24.84,24.21,22.80,21.63,21.10,20.12,18.79,18.38,17.09,15.81,14.87,13.60,12.65
